year_aired,imdb,monster_real,title,suspects_amount
1969,8.1,fake,What a Night for a Knight,2
1969,8.1,fake,A Clue for Scooby Doo,2
1969,8,fake,Hassle in the Castle,0
1969,7.8,fake,Mine Your Own Business,2
1969,7.5,fake,Decoy for a Dognapper,1
1969,8.4,fake,What the Hex Going On?,2
1969,7.6,fake,Never Ape an Ape Man,1
1969,8.2,fake,Foul Play in Funland,2
1969,8.1,fake,The Backstage Rage,1
1969,8,fake,Bedlam in the Big Top,1
1969,8.5,fake,A Gaggle of Galloping Ghosts,1
1969,8.2,fake,"Scooby-Doo and a Mummy, Too",1
1969,8.4,fake,Which Witch is Which,2
1969,8.1,fake,Go Away Ghost Ship,2
1969,8.4,fake,Spooky Space Kook,1
1970,8.7,fake,A Night of Fright Is No Delight,3
1970,8,fake,That's Snow Ghost,3
1970,8.3,fake,Nowhere to Hyde,2
1970,7.8,fake,Mystery Mask Mix-Up,1
1970,7.7,fake,Scooby's Night with a Frozen Fright,2
1970,8.5,fake,"Jeepers, It's the Creeper",2
1970,8.4,fake,Haunted House Hang-Up,1
1970,7.9,fake,A Tiki Scare Is No Fair,1
1970,8.2,fake,Who's Afraid of the Big Bad Werewolf?,0
1970,7.9,fake,Don't Fool with a Phantom,3
1972,6.9,fake,The Ghastly Ghost Town,2
1972,7.8,fake,The Dynamic Scooby-Doo Affair,1
1972,7.9,fake,Wednesday Is Missing,2
1972,7.9,fake,The Frickert Fracas,4
1972,7.9,fake,Guess Who's Knott Coming to Dinner?,1
1972,7.7,fake,A Good Medium Is Rare,4
1972,7.8,fake,Sandy Duncan's Jekyll and Hyde,4
1972,8.5,fake,The Secret of Shark Island,2
1972,7.7,fake,The Spooky Fog of Juneberry,2
1972,8.3,fake,The Ghost of Bigfoot,4
1972,7.6,fake,The Ghost of the Red Baron,3
1972,7.4,fake,The Ghostly Creep from the Deep,1
1972,7.8,fake,The Haunted Horseman of Hagglethorn Hall,4
1972,7.6,fake,The Phantom of the Country Music Hall,2
1972,7.2,fake,The Caped Crusader Caper,2
1972,7.9,fake,The Lochness Mess,4
1973,7.4,fake,The Mystery of Haunted Island,2
1973,7.9,fake,The Haunted Showboat,3
1973,7.5,real,Mystery in Persia,3
1973,7.4,fake,The Spirited Spooked Sports Show,3
1973,7.6,fake,The Exterminator,1
1973,7.3,fake,The Weird Winds of Winona,2
1973,7.8,fake,The Haunted Candy Factory,2
1973,7.6,fake,The Haunted Carnival,0
1976,7.6,fake,High Rise Hair Raiser,4
1976,7.2,real,Everyone Hyde!,2
1976,7.4,fake,The Fiesta Host is an Aztec Ghost,4
1976,6.9,real,"What Now, Lowbrow?",1
1976,7.5,fake,The Gruesome Game of the Gator Ghoul,4
1976,8,fake,Whatta Shocking Ghost,3
1976,8,fake,The Headless Horseman of Halloween,4
1976,7.6,fake,Scared a Lot in Camelot,3
1976,8.2,fake,The Harum-Scarum Sanitarium,2
1976,7.7,fake,The No-Face Zombie Chase Case,5
1976,7,fake,Mamba Wamba and the Voodoo Hoodoo,5
1976,7.4,fake,A Frightened Hound Meets Demons Underground,4
1976,6.3,fake,The Wizard of Ooze,0
1976,6.8,fake,A Bum Steer for Scooby,5
1976,7.2,fake,There's a Demon Shark in the Foggy Dark,4
1976,7.3,fake,"Scooby-Doo, Where's the Crew?",2
1976,6.8,fake,The Ghost That Sacked the Quarterback,6
1976,7.7,fake,The Ghost of the Bad Humor Man,2
1976,7.5,fake,The Spirits of '76,3
1977,7.4,fake,The Curse of the Viking Lake,3
1977,8.2,fake,Vampire Bats and Scaredy Cats,5
1977,7.4,fake,"Hang in There, Scooby-Doo",2
1977,7.9,fake,The Chiller Diller Movie Thriller,6
1977,7.2,real,Scotland,0
1977,7.4,fake,The Spooky Case of the Grand Prix Race,4
